dam,IV,A/E,PRB,PRB2
Noble Soul GB,0.43,0.512,0.401,0.232
Trojan Tale (USA),0,0,0.393,0.193
Belltina GB,0,0,0.152,0.069
Sweet Alma GB,0,0,0.061,0.008
North Pine GB,0.968,1.553,0.436,0.269
Eishin Eleuthera (IRE),1.835,1.177,0.639,0.489
Fakhira (IRE),0,0,0.364,0.224
Arandora Star (USA),2.905,1.194,0.767,0.643
Once Removed GB,1.056,1.343,0.508,0.332
Unerring GB,1.056,1.478,0.46,0.3
Pooka GB,1.66,1.532,0.518,0.365
Millies Lady (IRE),0,0,0.222,0.072
La Fija (USA),0,0,0.417,0.284
Highest Accolade GB,1.223,1.064,0.487,0.329
Columbian Sand (IRE),2.051,1.314,0.575,0.437
Style Setter (USA),0,0,0.755,0.584
Jussoli GB,1.66,1.499,0.481,0.358
Firedancer GB,0,0,0.083,0.007
Crinolette (IRE),0,0,0.208,0.096
Davids Star GB,0,0,0.636,0.466
Stockline GB,1.453,1.386,0.521,0.379
Princess Haifa (USA),1.453,1.037,0.524,0.333
Arabian Dream (IRE),0.894,1.524,0.45,0.313
Singer On The Roof GB,1.453,1.917,0.627,0.493
Miriam GB,0.541,0.417,0.548,0.381
Dreamtime Quest GB,1.743,1.032,0.562,0.437
Goes A Treat (IRE),0,0,0.61,0.379
Repique (USA),0,0,0.39,0.22
Anitas Love (IRE),0,0,0.25,0.101
Night Mirage (USA),6.973,1.649,0.917,0.851
Pretiosa (IRE),0.968,0.67,0.714,0.545
Night Gypsy GB,0,0,0.507,0.287
Machikane Akaiito (IRE),0.581,0.543,0.562,0.417
Pool Party (USA),1.291,1.498,0.395,0.268
Danyross (IRE),0,0,0.482,0.329
Cheerful Knight (IRE),0.581,0.49,0.518,0.337
Child Prodigy (IRE),1.453,0.785,0.473,0.361
Tinashaan (IRE),2.324,0.936,0.697,0.558
Chasing Rainbows GB,0,0,0.568,0.391
Stage Struck (IRE),0.684,0.513,0.583,0.387
Chere Amie (USA),1.788,2.495,0.4,0.271
Helianthus GB,0,0,0.431,0.241
Atyab (USA),0,0,0.382,0.202
Giulia Muriel GB,0,0,0,0
Gentle Star GB,1.55,1.086,0.553,0.408
Susie Oakley VII GB,1.937,0.911,0.718,0.566
Chicarica (USA),0,0,0.379,0.213
Hatton Gardens GB,1.291,1.075,0.407,0.24
Lady Blackfoot GB,0,0,0.145,0.048
Metannee GB,1.66,1.895,0.578,0.458
Monongelia GB,0.968,0.804,0.496,0.342
Russian Royal (USA),0.968,0.776,0.642,0.526
Slipperose GB,1.453,1.234,0.54,0.392
Special Dissident GB,0,0,0.285,0.095
Montana Miss (IRE),3.874,4.621,0.45,0.382
Evocative (IRE),2.905,1.94,0.654,0.518
Living Legend (ITY),1.788,1.326,0.459,0.357
Elegantissima GB,0,0,0.083,0.024
Imperialist (IRE),0,0,0.355,0.191
Miss Margate (IRE),0.553,0.452,0.561,0.372
Mainly Sunset GB,0,0,0.311,0.146
LHarmonie (USA),0,0,0.119,0.022
Rare Roberta (USA),0,0,0.071,0.005
Air De Noblesse (USA),0,0,0.732,0.568
Dance Design (IRE),0,0,0.643,0.438
Dancing Fire (USA),1.162,1.243,0.549,0.418
Woodwin (IRE),2.905,1.427,0.679,0.533
Lady Icarus GB,0,0,0.442,0.199
Etaaq (IRE),0,0,0.258,0.092
Clear Attraction (USA),0,0,0.312,0.145
I C Cindy (USA),0,0,0.419,0.224
Carry Me (IRE),0,0,0.276,0.111
Ambience Lady GB,0,0,0.287,0.112
Springs Welcome GB,1.66,1.577,0.352,0.246
Westfield Mist GB,2.324,1.36,0.616,0.446
Urban Sky (FR),0,0,0.352,0.203
Mountain Harvest (FR),0,0,0.341,0.17
Truly Madly Deeply GB,1.367,1.334,0.483,0.351
Jeed (IRE),1.66,1.324,0.544,0.391
Blue Siren GB,0,0,0.396,0.253
Daring Ditty GB,0,0,0.41,0.252
Breadcrumb GB,0,0,0.188,0.141
Mijouter (IRE),0.968,0.649,0.484,0.362
Rongai (IRE),0,0,0.174,0.068
Altamura (USA),0.775,0.751,0.508,0.315
Formidable Dancer (USA),0,0,0.109,0.016
La Fazenda GB,2.583,1.762,0.549,0.438
Nahlin GB,0,0,0.566,0.416
Tolstoya GB,0.775,0.987,0.522,0.355
Celtic Bay (USA),0,0,0.271,0.13
Square Mile Miss (IRE),0,0,0.367,0.199
Lets Fall In Love (USA),0,0,0.152,0.058
Northern Moon GB,0,0,0.37,0.205
Eldina GB,0,0,0.332,0.186
Ashkernazy (IRE),0.968,0.981,0.478,0.359
Coppelia I (IRE),0,0,0,0
Nonnita GB,0,0,0.724,0.568
Tumbleweed Pearl GB,0.684,0.577,0.643,0.48
Takeover Target I (USA),0.612,0.479,0.572,0.382
Primo Donna Magna GB,0,0,0.366,0.198
Abaklea (IRE),1.367,0.811,0.631,0.486
Young Holly GB,0,0,0.263,0.082
Icefern GB,0.528,0.484,0.426,0.288
Hawayah (IRE),2.324,1.394,0.507,0.343
Formezza (IRE),0,0,0.238,0.121
Royal Fandango (USA),0,0,0.326,0.161
Analampi (GR),0,0,0.444,0.204
Westside Flyer GB,0,0,0.108,0.017
Aimores (IRE),0,0,0.257,0.114
Itching (IRE),0.646,0.388,0.604,0.424
Adatiya (IRE),1.291,1.331,0.472,0.332
Cappella (IRE),1.66,1.294,0.514,0.362
Vintage Escape (IRE),0,0,0.336,0.169
Flight Sequence GB,0,0,0.599,0.425
Taysala (IRE),0.726,0.963,0.569,0.385
Isle Of Sodor GB,0,0,0.177,0.055
Sur Le Fil (IRE),0,0,0.221,0.055
Blush With Love (USA),0,0,0.13,0.031
Otaru (IRE),0,0,0.014,0.001
Valmaranda (USA),0,0,0.463,0.29
Isolette GB,0.894,0.948,0.557,0.381
Cream Tease GB,0,0,0.603,0.43
Strina (IRE),0,0,0.498,0.377
Armorique (IRE),0,0,0.327,0.197
Zabeta GB,0.775,1.14,0.286,0.188
Natalie Jay GB,0,0,0.089,0.013
Nordic Union (IRE),0,0,0.293,0.179
Kingston Girl GB,0,0,0,0
Princess Sceptre GB,1.453,2.378,0.459,0.29
Miss Traxdata GB,0.968,0.953,0.742,0.582
Dancing Wolf (IRE),0,0,0.67,0.493
Prairie Charm (IRE),0.775,0.791,0.472,0.331
Rushing River (USA),0,0,0.359,0.2
Double Eight (IRE),0,0,0.562,0.377
Moorish Idol GB,0,0,0.452,0.3
Jucinda GB,0,0,0.291,0.134
Reem Dubai (IRE),0,0,0.125,0.047
Sheesha (USA),0,0,0.631,0.435
Party Scenes GB,0,0,0.576,0.38
Out Line GB,0,0,0.499,0.306
Habibi GB,0.726,0.849,0.528,0.329
Monawara (IRE),0,0,0.265,0.117
Glen Of Imaal (IRE),0.646,0.617,0.413,0.267
Fayre Holly (IRE),2.324,1.897,0.56,0.412
Housefull GB,1.162,0.962,0.554,0.393
Wannabe GB,0,0,0.372,0.196
White Paper (IRE),0,0,0.554,0.363
Meglio Che Posso (IRE),0,0,0.395,0.185
Lady Lucre (IRE),1.937,1.013,0.559,0.4
Bobbie Dee GB,1.937,3.754,0.595,0.41
Villella GB,0,0,0.279,0.17
Shifty Lady (IRE),3.32,0.821,0.649,0.57
Starosta GB,0,0,0.549,0.336
Lambeth Belle (USA),0,0,0.037,0.004
Cactus Road (FR),1.291,2.581,0.378,0.242
Be Discreet GB,0,0,0.389,0.213
Adeptation (USA),0.894,0.527,0.5,0.315
Aquaglow GB,0,0,0.476,0.273
Vilany GB,0,0,0.315,0.186
Fleeting Rainbow GB,2.051,1.109,0.616,0.489
Shes All Class (USA),0.775,0.826,0.575,0.402
Satin Velvet (USA),3.576,1.511,0.739,0.632
Kamadara (IRE),2.179,1.522,0.594,0.443
Free Spirit (IRE),0,0,0.325,0.165
Laraissa GB,1.937,1.88,0.325,0.232
Secret Circle GB,0,0,0.371,0.234
Eurolink Mischief GB,2.682,1.506,0.674,0.529
Tina Heights GB,0.968,0.517,0.636,0.499
Marie Dora (FR),1.55,1.243,0.634,0.451
Loose Talk GB,1.66,0.811,0.839,0.718
Highland Blue GB,2.021,2.085,0.53,0.397
Vital Laser (USA),0,0,0.371,0.196
Tranquillity GB,2.324,1.646,0.69,0.525
My Lucky Day (FR),0,0,0.177,0.074
Ninon Fontenail (FR),3.32,1.728,0.877,0.8
Paris Model (IRE),2.734,1.75,0.624,0.491
Chief Island GB,0,0,0.506,0.328
Seattle Kat (USA),0,0,0.369,0.211
Alarming Motown GB,0,0,0.64,0.481
Mistitled (USA),0,0,0.649,0.482
Amour Toujours (IRE),1.66,0.906,0.594,0.412
Maafi Esm GB,0,0,0.488,0.312
Realms Of Gold (USA),1.162,1.085,0.441,0.3
St Louis Lady GB,0,0,0.382,0.197
Tarafa GB,0,0,0.028,0.002
Almost A Lady (IRE),0.894,0.8,0.501,0.371
Triple Joy GB,2.905,2.135,0.621,0.515
Radiant GB,0,0,0.766,0.627
Altizaf GB,0,0,0.236,0.124
Musical Essence GB,0.726,0.63,0.528,0.359
Cache GB,0,0,0.242,0.137
Heather Honey GB,0,0,0.528,0.343
War Shanty GB,2.324,1.266,0.67,0.505
Petite Epaulette GB,0,0,0.274,0.143
Oh Nellie (USA),0,0,0,0
Silver Explosive GB,0,0,0.283,0.119
Monstrosa GB,0,0,0.501,0.295
Silvery Halo (USA),0,0,0.213,0.052
Bocas Rose GB,0,0,0.413,0.243
Partenza (USA),0.465,0.398,0.474,0.296
Spry GB,1.395,1.553,0.43,0.298
Passage Creeping (IRE),0.894,0.776,0.601,0.453
Lady Dowery (USA),0,0,0.774,0.613
Lifes Too Short (IRE),0,0,0.345,0.164
Joytime GB,0,0,0.279,0.138
Molly Brown GB,0,0,0.622,0.444
Municipal Girl (IRE),0,0,0.406,0.225
Picolette GB,2.324,1.566,0.654,0.491
Demerger (USA),0.505,0.424,0.554,0.372
Sheraton Heights GB,0,0,0.657,0.477
Motley GB,0,0,0.501,0.311
Limited Option (IRE),1.66,2.233,0.33,0.218
JusChillin (IRE),0,0,0.17,0.049
Sabina GB,2.324,1.87,0.63,0.502
Bright Halo (IRE),1.66,0.806,0.688,0.558
Hoh Dear (IRE),1.223,0.663,0.549,0.392
Hay Knot GB,0.646,0.669,0.392,0.243
Dolcezza (FR),0.465,0.464,0.434,0.299
Alpine Time (IRE),0.968,0.939,0.422,0.33
Carreamia GB,0,0,0.459,0.293
Pegs GB,0,0,0.459,0.283
Hat And Gloves GB,0,0,0.394,0.178
Neustria (POL),0,0,0.146,0.064
Crees Sqaw GB,0,0,0.156,0.049
Cominna GB,0,0,0.244,0.092
Tymeera GB,0,0,0.106,0.016
Valbra GB,0,0,0.292,0.109
My Hearts Desire GB,0,0,0.028,0.002
Friend For Life GB,2.113,2.249,0.499,0.383
Lancea (IRE),0,0,0.619,0.442
Changing Partners GB,1.056,1.078,0.383,0.276
Beacon Silver GB,1.788,1.944,0.402,0.31
Sea Harrier GB,1.937,3.333,0.553,0.361
Moviegoer GB,0,0,0.436,0.298
Alikhlas GB,1.162,0.86,0.519,0.369
Winze Kible GB,0,0,0.086,0.008
Belladera (IRE),2.113,1.745,0.597,0.475
Piroshka GB,0,0,0.67,0.467
Twist Scarlett (GER),2.113,1.986,0.548,0.365
Sunset River (USA),0,0,0.322,0.185
Tatanka (ITY),0,0,0.372,0.189
National Time (USA),1.162,2,0.444,0.254
Stygian (USA),0.401,0.417,0.476,0.311
Rally For Justice GB,0,0,0.298,0.111
Nour El Sahar (USA),0.894,1.898,0.4,0.237
Delta Tempo (IRE),1.223,1.03,0.54,0.362
Jarmar Moon GB,0,0,0.495,0.333
Disco Doll (USA),0,0,0.105,0.018
Glenstal Priory GB,0,0,0.472,0.316
Princess Kelly GB,0,0,0.385,0.197
Sunday Sport Star GB,0,0,0.033,0.002
Halcyon Daze GB,0,0,0.435,0.264
Memsahb (USA),0.646,0.421,0.6,0.415
Milling (IRE),0,0,0.419,0.242
Euphorie (GER),0,0,0.481,0.281
Silver Charm GB,0,0,0.417,0.233
Charisse Dancer GB,0,0,0.442,0.262
Prim Ajwaad GB,1.453,0.94,0.725,0.575
Shi Shi GB,0,0,0.436,0.279
Musica GB,0,0,0.554,0.315
Primrose Way GB,0,0,0.504,0.325
Kshessinskaya GB,0,0,0.512,0.356
Moving Princess GB,1.291,1.657,0.446,0.273
Chayanees Arena (IRE),0,0,0.192,0.048
Julie La Rousse (IRE),1.291,1.158,0.621,0.509
Sopran Marida (IRE),0,0,0.155,0.066
Dream Chaser GB,0,0,0.05,0.005
Nightingale GB,3.228,2.25,0.624,0.508
Keralba (USA),0,0,0.585,0.396
Imperial Jade GB,0,0,0.456,0.306
Birmania (IRE),0,0,0.455,0.207
Noble Haven GB,0,0,0.433,0.244
Taskone GB,0,0,0.256,0.085
Royal Dream GB,1.453,1.129,0.605,0.441
Intisab GB,1.453,2.136,0.353,0.226
Water Pixie (IRE),1.453,1.317,0.625,0.489
Misty Rain GB,0,0,0.515,0.313
Red Hot Dancer (USA),0,0,0.104,0.011
First Musical GB,1.162,0.791,0.629,0.453
Raffelina (USA),0,0,0.346,0.165
Treble Term GB,1.66,1.449,0.622,0.428
Faye GB,0,0,0.406,0.218
Skerray GB,0,0,0.388,0.232
Blue Goddess (IRE),0,0,0.409,0.231
Tis Juliet (USA),1.937,0.96,0.704,0.575
Eveningperformance GB,0,0,0.372,0.199
Moneefa GB,0,0,0.475,0.327
Supreme Thought GB,0,0,0.509,0.339
Sister Golden Hair (IRE),1.056,0.867,0.483,0.3
Pettycur Bay (FR),0,0,0.093,0.013
Nicely (IRE),0,0,0.565,0.362
Singing The Blues GB,0,0,0.426,0.236
Ariettas Way (IRE),0,0,0.409,0.275
Lacinia GB,0,0,0.307,0.172
Tainted Halo (USA),0,0,0.285,0.13
Duck Flighting (USA),0,0,0.186,0.087
Taormina (IRE),0.775,0.588,0.588,0.411
Zallaka (IRE),0.43,0.217,0.671,0.506
Trilby I GB,2.49,1.116,0.63,0.5
Aldwick Colonnade GB,0,0,0.122,0.025
Didina GB,2.324,0.695,0.799,0.654
Persian Fantasia GB,0,0,0.534,0.353
Dolara (IRE),5.811,6.042,0.869,0.781
Alexandra S (IRE),0,0,0.612,0.415
Comic (IRE),0,0,0.716,0.533
Madame Nureyev (USA),0,0,0.314,0.152
Up And About GB,0,0,0.151,0.051
Rosewood Belle (USA),0,0,0.223,0.055
Justine Au Jardin (USA),0,0,0.51,0.365
Miskinissa (GER),0,0,0.37,0.261
Perugia (IRE),1.937,0.725,0.673,0.592
Wide Range (IRE),0,0,0.775,0.601
Cantaloupe GB,0,0,0.4,0.212
Seek The Pearl GB,0,0,0.376,0.21
Baylands Sunshine (IRE),0.726,0.634,0.512,0.351
Sevres (USA),2.324,3.1,0.54,0.389
Ara GB,0,0,0.483,0.345
Lagta GB,0,0,0.245,0.111
Heads We Called (IRE),0,0,0.353,0.142
Chiltern Court (USA),0,0,0.071,0.026
Tatra GB,1.743,1.295,0.573,0.41
Cannikin (IRE),0.75,0.586,0.585,0.442
Evry (GER),0,0,0.452,0.259
Here To Eternity (FR),0,0,0.067,0.004
Shine Share (IRE),0,0,0.275,0.144
Fays Song (IRE),0,0,0.529,0.354
Indian Nectar GB,0,0,0.032,0.003
Lady Ploy GB,0,0,0.588,0.423
Norpella GB,1.291,1.334,0.532,0.366
Dublivia GB,1.453,1.799,0.541,0.383
Dust GB,0,0,0.367,0.168
Entracte GB,0,0,0.23,0.076
Charlene Lacy (IRE),1.66,1.677,0.47,0.327
Sea Siren GB,2.324,1.492,0.678,0.569
Dolphin Stamp (IRE),1.66,3.528,0.414,0.268
Step On Degas GB,0,0,0.317,0.149
Devils Dirge GB,0.93,0.838,0.532,0.359
Oh I Say GB,0,0,0.166,0.044
Zagreb Flyer GB,0.83,0.94,0.419,0.271
Evrobi (IRE),0,0,0.371,0.171
Piccante GB,1.056,0.944,0.293,0.167
Fun Board (FR),0,0,0.207,0.061
Tudor Loom GB,2.905,8.586,0.466,0.317
Sirdhana GB,0,0,0.589,0.382
Thea I (GER),0,0,0.556,0.335
Eurolink Cafe GB,0,0,0.323,0.172
Canadian Capers GB,2.583,2.003,0.541,0.425
Decorous (IRE),0,0,0.401,0.202
Piffle GB,0,0,0.53,0.335
Rose De Martine (FR),0,0,0.61,0.39
Toposki (FR),0,0,0.278,0.157
Belair Princess (USA),1.937,1.84,0.53,0.403
Eadie (IRE),8.716,2.081,0.925,0.873
Chancy Gal GB,0,0,0.419,0.261
Celeste I (FR),2.905,1.12,0.763,0.63
Bold Virgin (USA),5.811,1.806,0.818,0.702
Restless Mixa (IRE),2.324,1.197,0.668,0.517
Dragon Pearl (USA),0,0,0.444,0.29
Ice Pearl GB,1.937,0.899,0.511,0.34
Princess Constanza GB,0,0,0.271,0.168
Native Woodfire (IRE),1.453,0.454,0.505,0.428
Frog GB,1.788,1.002,0.494,0.35
Teer On Eer (IRE),0,0,0.52,0.364
Robsart (IRE),0,0,0.361,0.208
Alzeam (IRE),0,0,0.381,0.235
Minstrels Folly (USA),1.056,0.939,0.458,0.335
Heros Pride (FR),0,0,0.432,0.244
Supersonic GB,2.583,1.862,0.421,0.334
Leprechaun Lady GB,0,0,0.234,0.097
Raise The Dawn GB,1.291,0.737,0.319,0.235
Lady Norcliffe (USA),0,0,0.633,0.517
Lollia Paulina (IRE),0,0,0.533,0.284
Cursneh Decone GB,2.324,4.422,0.432,0.296
Sistadari GB,0,0,0.425,0.303
Regular Dolan (IRE),0,0,0.721,0.52
Fair Lisselan (IRE),0,0,0.297,0.124
Adwoa (IRE),2.324,2.387,0.835,0.721
Lauras Native (IRE),0,0,0.583,0.361
Melody Mine GB,0,0,0.335,0.12
Tuftarney GB,0,0,0.286,0.082
Eau De Nuit GB,1.367,0.936,0.586,0.441
Bold Lyndsey GB,0,0,0.651,0.499
Harrys Legacy (IRE),0,0,0.149,0.049
Clashdermot Lass GB,4.649,1.291,0.888,0.798
Jolejester GB,0,0,0.41,0.29
Cashla (IRE),0,0,0.167,0.083
Maythefifth (IRE),0,0,0.544,0.445
Ballon Bombshell (IRE),1.056,0.947,0.495,0.398
Magnificent Star (USA),0,0,0.404,0.172
Pennine Sue (IRE),0,0,0.523,0.315
Fair Ava (IRE),5.811,1.921,0.656,0.598
Love The Lord (IRE),3.874,1.676,0.663,0.615
Laurel Diver GB,1.937,3.115,0.489,0.355
Cousin Muck (IRE),0.775,0.608,0.425,0.312
Blue Bell Girl GB,3.169,1.511,0.487,0.375
Hail The Dancer (USA),2.324,1.205,0.44,0.286
Mammys Friend GB,1.162,0.827,0.608,0.437
Salt Mills GB,0.968,0.617,0.536,0.448
La Beaumont (FR),0,0,0.229,0.158
Last Ditch GB,0,0,0.387,0.299
Oiseval GB,1.056,0.973,0.227,0.193
Lady Be Lucky (IRE),1.223,1.379,0.467,0.339
Edithmead (IRE),0,0,0.094,0.033
Emmas Way (IRE),0,0,0,0
Whipper Snapper GB,0.968,0.682,0.498,0.388
Simple Mind GB,1.162,0.959,0.508,0.325
Dargins Hill (IRE),0,0,0.527,0.373
Penny Drops I GB,0,0,0.517,0.329
Celtic Tore (IRE),0,0,0.621,0.451
Sheer Water GB,0,0,0.5,0.278
Home From The Hill (IRE),1.788,0.971,0.556,0.422
Anns Queen (IRE),0,0,0.347,0.21
Kentucky Tears (USA),0,0,0.268,0.124
Carrick Shannon GB,0.968,0.818,0.383,0.288
Miss Wrensborough GB,3.874,3.184,0.835,0.723
Guitane Lady (IRE),2.324,1.93,0.577,0.424
Bundled Up (USA),1.107,1.082,0.362,0.23
Proudy (IRE),0,0,0.447,0.2
Shahdiza (USA),0,0,0.056,0.006
Sirrah Madam GB,0,0,0.25,0.188
Mawtvica GB,1.937,0.881,0.606,0.501
Alice Passthorn GB,0,0,0.257,0.192
Decent Enough GB,2.324,1.371,0.677,0.539
Whampoa (FR),0,0,0.286,0.159
Musimara (FR),0,0,0.037,0.004
Bonnie Thynes (IRE),0,0,0.873,0.763
Final Countdown I GB,0,0,0.457,0.271
Go Gipsy GB,0,0,0.57,0.336
Tidal Princess (IRE),0,0,0.443,0.221
Take The Veil GB,0,0,0.347,0.123
Flower Of Tintern GB,0,0,0.227,0.057
Glorious Bid (IRE),0,0,0.2,0.04
Sallys Dove GB,0,0,0.232,0.071
Salty Girl (IRE),0,0,0,0
Ex Des Sacart (FR),0,0,0.496,0.354
Galaxy Light (NZ),0,0,0,0
Princess Hotpot (IRE),0,0,0.551,0.369
Soldeu Creek (IRE),0,0,0,0
Workamiracle GB,5.811,5.368,0.778,0.654
Aratika I (FR),0,0,0.419,0.252
Slava I (USA),1.291,1.05,0.669,0.516
Tresor (USA),2.324,1.785,0.606,0.452
Welcome Proposal GB,0,0,0.336,0.199
Katchum GB,0,0,0.17,0.055
Millfields Lady GB,0,0,0.068,0.019
Lady Elle I (IRE),0,0,0.262,0.181
Lady Carol GB,0,0,0.198,0.07
Spiritual Lily GB,0,0,0.233,0.118
Shakna (FR),5.811,3.548,0.917,0.847
Shamawna (IRE),1.291,0.902,0.495,0.338
Cathedral Road GB,2.905,2.623,0.436,0.332
Thalandrezienne (FR),1.66,1.701,0.345,0.258
Precious Petra GB,0,0,0.371,0.201
Albaciyna GB,2.905,1.256,0.583,0.492
Population (IRE),0,0,0,0
Bampton Fair GB,3.874,1.036,0.911,0.835
Four Thyme GB,0,0,0.769,0.592
Arctic Alice GB,0,0,0.423,0.271
Pure Misk GB,0.968,1.084,0.548,0.396
Lorens Joy (IRE),0,0,0.295,0.133
Brown Willows (IRE),0,0,0.308,0.095
Binny Grove GB,0,0,0.373,0.24
Coxwold (USA),0,0,0,0
Emily Bishop (IRE),0,0,0.558,0.469
Ferneyhill Lady GB,0,0,0.602,0.385
Evas Fancy GB,0,0,0.45,0.205
Woodford Princess (IRE),0,0,0.125,0.031
Royal Gale GB,0,0,0.292,0.147
Henrys True Love GB,1.66,0.613,0.569,0.464
Gamaytoise (FR),0,0,0.506,0.4
Teletex GB,3.32,1.188,0.611,0.493
Olympiade De Brion (FR),0,0,0.589,0.373
Both Sides Now (USA),1.453,2.603,0.677,0.527
Sweet Tune GB,0,0,0.435,0.244
Royal Resort GB,0,0,0,0
Zarah (FR),0,0,0.225,0.084
Trysting Place GB,0,0,0.486,0.365
Afternoon TeaI (IRE),1.291,0.467,0.627,0.474
Arctic Bead (IRE),0,0,0.143,0.061
Goldkatze (GER),0,0,0.143,0.041
Ivy Lane (IRE),1.291,0.785,0.73,0.57
Stupid Cupid GB,0,0,0.352,0.26
National Ballet GB,0,0,0.705,0.519
Pommette III (FR),1.453,0.849,0.529,0.43
Connies Pet GB,0,0,0,0
Notabilite (FR),2.682,1.589,0.525,0.405
Duhallow Lady (IRE),0,0,0.708,0.503
Serpentara GB,2.905,1.264,0.726,0.559
Friandise II (FR),0,0,0.167,0.056
Boleree (IRE),1.66,0.777,0.729,0.629
Heavenward (USA),1.011,0.857,0.637,0.453
Elizabethan Air GB,0,0,0.415,0.347
Loch Na Mona (IRE),0,0,0.23,0.128
Emplane (USA),3.874,1.122,0.902,0.82
Vaillante Bily (FR),0,0,0.9,0.81
Firey Comet (IRE),3.874,2.643,0.567,0.497
Teejays Future (IRE),0,0,0.432,0.218
Teene Hawk (FR),2.905,0.922,0.42,0.308
La Le Lu (FR),0,0,0.271,0.147
Secret Sensation (IRE),0,0,0.856,0.735
Bu Hagab (IRE),1.516,1.53,0.589,0.436
West River (USA),0,0,0.6,0.37
Phylian GB,0,0,0.25,0.125
Empty Purse GB,0.894,1.004,0.389,0.247
Chellita GB,0,0,0,0
Raven Night (IRE),0,0,0.2,0.082
Meggy (FR),0,0,0.25,0.125
Mountain Memory GB,0,0,0.612,0.451
Jalousie (FR),0,0,0.508,0.389
Farmerette GB,0,0,0.368,0.279
Midnights Daughter (IRE),0,0,0.514,0.367
Lointaine (USA),0,0,0,0
Knockea Hill (IRE),0,0,0,0
Bella Tennise (FR),2.324,1.015,0.737,0.579
Carbias Last GB,0.726,0.717,0.575,0.398
Bright Future (IRE),0,0,0.492,0.356
Clerical Artist (IRE),0,0,0,0
Drumdeels Star (IRE),0,0,0.342,0.214
River Regent GB,0,0,0.375,0.281
Ballydrummund (IRE),4.649,1.957,0.799,0.684
Our Resolution GB,2.583,2.404,0.629,0.451
Very Mighty (FR),0.894,0.79,0.503,0.318
Crackeline (FR),0,0,0.353,0.125
Double Dutch I GB,0,0,0.326,0.178
Many Miracles GB,0,0,0.833,0.694
Belle Mome (FR),1.291,1.089,0.399,0.277
Keep The Faith GB,3.874,1.813,0.532,0.474
Bellile II (FR),1.937,0.938,0.583,0.451
Sweet Beauty (FR),4.649,1.823,0.567,0.539
Dame Kiri (FR),2.905,1.223,0.785,0.68
Gladstone Street (IRE),3.874,1.344,0.741,0.613
Trimar Gold GB,2.051,0.925,0.773,0.646
One Eyed Lucy (IRE),3.874,1.583,0.619,0.578
Rose Runner (IRE),0,0,0.393,0.309
Green Land (BEL),0,0,0.841,0.716
Silent Surrender GB,0,0,0.25,0.125
Balakera (FR),2.49,2.094,0.484,0.35
Amber Ballad GB,0,0,0.543,0.335
Granny Clark (IRE),1.937,1.171,0.778,0.674
In Perpetuity GB,0,0,0.363,0.213
Clonmello GB,1.056,0.426,0.699,0.568
Langretta (IRE),5.811,2.675,0.95,0.905
Almost Regal (IRE),0,0,0.8,0.64
Hilarys Pet GB,0,0,0.611,0.462
Cordiglia GB,0,0,0.436,0.217
Prepare (IRE),0,0,0.478,0.24
Kalwada (USA),0,0,0.406,0.165
After Time GB,0,0,0.3,0.09
Chapel Hill (IRE),0,0,0.352,0.237
Miss Millbrook GB,0,0,0.113,0.013
Aries Girl GB,0,0,0.406,0.33
Stellina (IRE),0,0,0.714,0.51
The Dawn Trader (USA),0,0,0.727,0.58
South Rock GB,4.47,1.848,0.763,0.638
Christan (IRE),0.894,0.786,0.535,0.386
Inya Lake GB,1.835,1.371,0.509,0.379
Opopmil (IRE),1.453,0.916,0.635,0.519
Ajuga (USA),0.968,0.728,0.452,0.305
Dollar Bird (IRE),2.905,1.142,0.473,0.412
Miss DOuilly (FR),0,0,0.421,0.219
Never So Fair GB,0,0,0.668,0.487
California Dreamin GB,0.83,0.83,0.56,0.394
Anasazi (IRE),0,0,0.357,0.158
Killick GB,0,0,0.407,0.245
Emma Amour GB,0,0,0.614,0.45
Enthrone I (USA),0,0,0.286,0.134
Northern Tara (IRE),0,0,0.248,0.099
Joy St Clair (IRE),0,0,0.32,0.137
Haraabah (USA),1.743,1.269,0.555,0.403
Sheilas Secret (IRE),2.583,1.484,0.571,0.442
Charleigh Keary GB,0,0,0.116,0.035
Prima Venture GB,0,0,0,0
Mystic Belle (IRE),2.324,1.707,0.727,0.559
Shady Street (USA),1.66,1.071,0.627,0.485
Ski For Gold GB,0,0,0.445,0.251
St Radegund GB,2.324,1.241,0.594,0.445
Amaniy (USA),0.612,0.628,0.547,0.371
Bodfari Quarry GB,1.66,1.682,0.473,0.349
Lyndonville (IRE),1.55,0.619,0.522,0.416
Fairy Fortune GB,2.324,1.558,0.636,0.482
Viola Royale (IRE),2.905,1.363,0.733,0.59
Fruhlingserwachen (USA),2.324,1.859,0.553,0.396
Isticanna (USA),0.726,1.044,0.376,0.242
Lovers Parlour GB,0,0,0.294,0.132
Mingling Glances (USA),0,0,0.67,0.483
Princess Zara GB,0,0,0.453,0.32
Sahara Star GB,0,0,0.51,0.316
November Song GB,0,0,0.313,0.172
Luana GB,1.162,1.38,0.466,0.323
Witching Hour (IRE),0,0,0.343,0.121
Mystical Jumbo GB,1.291,1.387,0.402,0.272
Karen Blixen GB,0.83,0.604,0.572,0.427
Just Lady GB,0,0,0.347,0.208
Madam Taylor GB,0,0,0.435,0.268
Nordic Living (IRE),1.245,1.776,0.38,0.226
