horse,IV,A/E,PRB,PRB2
Golden Dixie (USA),1.743,1.233,0.718,0.57
Prince Of Gold (GB),0.505,0.366,0.634,0.438
Misaro (GER),1.937,1.085,0.633,0.535
Royal Cozyfire (IRE),0,0,0.273,0.13
Exit Smiling (GB),0,0,0.517,0.364
Chickado (IRE),1.056,0.855,0.562,0.401
Top The Charts (GB),1.788,0.592,0.817,0.694
Heart Stopping (USA),0,0,0.407,0.274
Honorary Citizen (GB),0,0,0.391,0.223
Best Of The Blues (GB),0,0,0.374,0.18
Hawridge Sensation (GB),1.66,2.189,0.419,0.275
Drive Me Wild (IRE),0,0,0.34,0.144
Disobey (GB),1.937,2.426,0.621,0.488
Prince Of The May (GB),0,0,0.453,0.249
Cool Hunter (GB),1.66,1.406,0.598,0.423
Danish Monarch (GB),0,0,0.433,0.241
Monte Mayor Boy (GB),1.453,3.444,0.385,0.275
Higgys Prince (GB),0,0,0,0
Wizby (GB),1.937,1.731,0.515,0.346
Noble Edge (GB),1.162,0.765,0.541,0.371
Blue Army (IRE),0,0,0.367,0.202
Endless Chimes (GB),0,0,0.152,0.069
TagginAlong (IRE),0,0,0.061,0.011
Most Famous (GB),0,0,0.101,0.024
Mossmann Gorge (GB),0.968,1.553,0.436,0.269
Courageously (GB),0.894,0.609,0.563,0.4
Alphun (IRE),0,0,0.364,0.224
Polar Dawn (GB),0.83,0.648,0.655,0.459
Dragon Slayer (IRE),2.905,1.194,0.767,0.643
Tybalt (GB),1.66,1.593,0.615,0.427
Final Promise (GB),1.453,1.606,0.494,0.341
Dove Cottage (IRE),1.66,1.532,0.518,0.365
Volitio (GB),0,0,0.222,0.072
Time For You (GB),0,0,0.417,0.284
Saltburn Lad (IRE),0,0,0.48,0.28
Sand Repeal (IRE),0,0,0.477,0.331
Regal Attire (USA),0,0,0.755,0.584
Lotus Land (UAE),0,0,0.32,0.141
Kitty (GB),0,0,0.254,0.127
Imperioli (GB),0,0,0.194,0.058
Marybelle (GB),0,0,0.125,0.017
Neardown Bishop (GB),0,0,0.083,0.007
Petticoat Hill (UAE),0,0,0.208,0.096
Shastye (IRE),2.905,1.885,0.545,0.437
Donastrela (IRE),0,0,0.68,0.486
Maystock (GB),1.937,1.507,0.601,0.452
Saucy (GB),4.981,2.217,0.749,0.622
Desert Island Disc (GB),0.581,0.533,0.57,0.39
Safirah (GB),0,0,0.431,0.221
Bubbling Fun (GB),1.056,1.457,0.387,0.232
Jolie (IRE),1.937,4.491,0.441,0.308
Pink Bay (GB),1.453,1.917,0.627,0.493
Gennie Bond (GB),0,0,0.483,0.3
Look Of Eagles (GB),1.937,1.047,0.719,0.565
Treat Me Wild (IRE),0,0,0.61,0.379
Guinea A Minute (IRE),0,0,0.45,0.284
Lucky Emerald (IRE),0,0,0.25,0.101
Dream Fantasy (IRE),6.973,1.649,0.917,0.851
Prettilini (GB),0.968,0.67,0.714,0.545
Safari Mischief (GB),0,0,0.507,0.287
Bold Cross (IRE),0,0,0.669,0.532
Deserted Prince (IRE),1.453,1.567,0.445,0.302
Miss Maxi (IRE),0,0,0.302,0.157
Mullzima (IRE),0,0,0.35,0.153
Cape Unknown (USA),0,0,0.567,0.402
Talcen Gwyn (IRE),0.581,0.49,0.518,0.337
Heidis Dash (IRE),1.453,0.785,0.473,0.361
Flying Heart (GB),0.83,0.563,0.444,0.306
Polish Eagle (GB),3.874,1.122,0.678,0.578
Gitche Manito (IRE),0,0,0.568,0.391
Needwood Scot (GB),0,0,0.234,0.138
Pseudonym (IRE),0,0,0.546,0.337
Heathcote (GB),3.32,4.083,0.455,0.368
Tiegs (IRE),0,0,0.431,0.241
Dysonic (USA),0,0,0.382,0.202
Young Dennis (IRE),0,0,0,0
Polish Spirit (GB),1.55,1.086,0.553,0.408
Oakley Absolute (GB),1.937,0.911,0.718,0.566
Norwegian (GB),0,0,0.379,0.213
Squirtle Turtle (GB),0,0,0.261,0.098
Dakota Blackhills (GB),0,0,0.145,0.048
Heart Springs (GB),1.66,1.895,0.578,0.458
Moonshine Beach (GB),0.894,0.702,0.511,0.36
Jayer Gilles (GB),0,0,0.575,0.397
Colleton River (IRE),1.937,1.025,0.631,0.484
Nautical (GB),0.968,0.776,0.642,0.526
Yorkies Boy (GB),0,0,0.463,0.284
Threezedzz (GB),0,0,0.404,0.231
Spin King (IRE),0,0,0.296,0.101
Sir Bluebird (IRE),0,0,0.487,0.327
Corrib (IRE),3.874,4.621,0.45,0.382
Sounds Simla (IRE),2.905,1.94,0.654,0.518
Salute Him (IRE),3.874,1.773,0.676,0.565
Compton Flyer (GB),0,0,0.083,0.024
Cayman Colony (IRE),0,0,0.357,0.205
Dundonald (GB),0.968,1.14,0.522,0.351
Lateral Thinker (IRE),0,0,0.47,0.251
Nathan Detroit (GB),0,0,0.343,0.171
Costa Del Sol (IRE),0,0,0.107,0.023
Frederick James (GB),0,0,0.071,0.005
In The Lead (USA),0,0,0.732,0.568
Swindon (USA),0,0,0.689,0.496
Montecito (GB),1.291,1.274,0.519,0.39
Star Wood (IRE),0,0,0.476,0.232
Inca Wood (UAE),0,0,0.442,0.199
Assir (GB),0,0,0.258,0.092
Obvious Charm (GB),0,0,0.211,0.051
Longing For Cindy (USA),0,0,0.419,0.224
Sturbury (GB),0,0,0.276,0.111
Timberlake (GB),0,0,0.287,0.112
Family n Friends (GB),0,0,0.1,0.05
Best Before (IRE),1.66,1.111,0.607,0.476
Cirrious (GB),2.324,1.36,0.616,0.446
Indigo Sky (IRE),0,0,0.281,0.105
Jumeirah Scarer (GB),0,0,0.341,0.17
Hidden Star (GB),0,0,0.512,0.35
Edge Fund (GB),0.83,1.037,0.408,0.272
Mostanad (GB),0,0,0.416,0.233
Speed Of Sound (GB),0,0,0.293,0.114
Pure Imagination (IRE),2.179,1.66,0.662,0.499
Farewell Gift (GB),0,0,0.41,0.252
Theas Dance (GB),0,0,0.065,0.006
Shortbread (GB),0,0,0.188,0.141
Solipsist (IRE),0,0,0.424,0.22
Georgies Lass (IRE),0,0,0.174,0.068
West HillI (IRE),0,0,0.46,0.255
Logger Rhythm (USA),0,0,0.109,0.016
Seasons Estates (GB),2.583,1.762,0.549,0.438
Foxy Gwynne (GB),0,0,0.639,0.514
Ivana Illyich (IRE),0.775,0.987,0.522,0.355
Miss Cotswold Lady (GB),0,0,0.271,0.13
Gogetter Girl (GB),0,0,0.367,0.199
Flaunt N Flirt (GB),0,0,0.152,0.058
Oasis Way (GR),0,0,0.37,0.205
Lowicz (GB),0,0,0.332,0.186
Tombalina (GB),0.968,0.981,0.478,0.359
Ballet Be (IRE),0,0,0,0
Fly More (GB),0.646,0.692,0.383,0.227
Tiny Tim (IRE),0,0,0.724,0.568
Jasmine Pearl (IRE),0.684,0.577,0.643,0.48
Spy Gun (USA),0.612,0.479,0.572,0.382
Silver Reign (GB),0,0,0.366,0.198
Coranglais (GB),1.66,1.157,0.688,0.528
Enjoy The Buzz (GB),1.367,0.811,0.631,0.486
Laurel Dawn (GB),0,0,0.462,0.26
Blakeshall Quest (GB),0.775,0.74,0.446,0.289
Holly Games (GB),0,0,0.263,0.082
Mac The Knife (IRE),0,0,0.245,0.123
Turtle Magic (IRE),0,0,0.223,0.075
Etaar (GB),3.874,1.474,0.633,0.47
Royal Miss (GB),0,0,0.322,0.177
Form And Beauty (IRE),0,0,0.238,0.121
Floral Print (USA),0,0,0.326,0.161
Ovation Way (GR),0,0,0.444,0.204
Rhuby River (IRE),0,0,0.108,0.017
Allegretto (FR),0,0,0.257,0.114
Uig (GB),1.937,1.456,0.576,0.419
Bojangles (IRE),0.646,0.388,0.604,0.424
Factual Lad (GB),2.324,1.963,0.567,0.408
Frontier (GB),1.291,1.331,0.472,0.332
Desert Battle (IRE),0,0,0.236,0.084
Dickensian (IRE),5.811,1.5,0.804,0.703
Missdevina (IRE),0,0,0.54,0.352
High Octave (IRE),0,0,0.599,0.425
Night Groove (IRE),1.291,1.781,0.462,0.281
Mannello (GB),0,0,0.275,0.091
Master Mark (GB),0,0,0.221,0.055
Paddys Place (IRE),0,0,0.251,0.077
Wotavadun (IRE),0,0,0.075,0.009
Magical World (GB),0,0,0.018,0.001
Perranporth Lad (GB),0,0,0,0
Ferrara Flame (IRE),1.162,1.228,0.596,0.438
Suturia (GB),0,0,0.603,0.43
Priorina (IRE),0,0,0.552,0.429
Tiger Dawn (IRE),0,0,0.183,0.071
My Vee Tee (IRE),0,0,0.131,0.029
Theflyingscottie (GB),0,0,0.429,0.243
Voom (GB),0,0,0.089,0.013
Victory Hymn (IRE),0,0,0.059,0.007
Surrey Downs Girl (GB),0,0,0,0
Soviet Sceptre (IRE),1.453,2.378,0.459,0.29
Go Free (GB),0.968,0.953,0.742,0.582
Daydream Dancer (GB),0,0,0.651,0.471
Prairie Law (GER),0.775,0.791,0.472,0.331
Rumbling Bridge (GB),0,0,0.374,0.217
Stevedore (IRE),3.576,1.656,0.748,0.652
Principal Witness (IRE),0,0,0.533,0.355
Baker Of Oz (GB),0,0,0.452,0.3
Gems Bond (GB),0,0,0.291,0.134
Wood Spirit (IRE),0,0,0.071,0.012
Ardwelshin (FR),0,0,0.125,0.047
Shielaligh (GB),0,0,0.631,0.435
Smirfys Party (GB),0,0,0.576,0.38
Blue Line (GB),0,0,0.538,0.359
Justenjoy Yourself (GB),0.726,0.849,0.528,0.329
Agent Kensington (GB),0,0,0.116,0.016
Lakeside Guy (IRE),0.684,0.625,0.437,0.283
Elidore (GB),2.113,2.119,0.616,0.459
Tuscarora (IRE),0,0,0.628,0.465
Stamford Blue (GB),2.324,1.897,0.56,0.412
Worth Abbey (GB),1.55,1.285,0.461,0.308
Nietzsche (IRE),0,0,0.353,0.203
Key Partners (IRE),0,0,0.315,0.136
Moonshine Bill (GB),1.162,0.985,0.459,0.308
Birthday Star (IRE),0,0,0.554,0.363
Padre Nostro (IRE),0,0,0.395,0.185
Cash On (IRE),1.937,1.013,0.559,0.4
In Deep (GB),1.66,3.968,0.562,0.373
Brunston Castle (GB),0,0,0.061,0.008
Golden Acer (IRE),3.874,0.831,0.758,0.665
Miltons Choice (GB),0,0,0.549,0.336
Bowlander (GB),0,0,0.037,0.004
Danielles Lad (GB),1.453,2.718,0.425,0.272
Cool Temper (GB),0,0,0.242,0.148
Omaha City (IRE),0,0,0.448,0.274
Ermine Grey (GB),0,0,0.595,0.429
Retirement (GB),0,0,0.478,0.285
Dafore (GB),0,0,0.476,0.273
Kenwyn (GB),0,0,0.378,0.223
Foley Prince (GB),0,0,0.078,0.024
Moonlight Man (GB),1.162,0.941,0.553,0.429
Flint River (GB),0.775,0.826,0.575,0.402
Prince Of Thebes (IRE),1.453,1.929,0.55,0.417
Wessex I (USA),3.576,1.511,0.739,0.632
General Feeling (IRE),2.179,1.522,0.594,0.443
Arkholme (GB),0,0,0.247,0.096
Raza Cab (IRE),1.937,1.88,0.325,0.232
Secret Place (GB),0,0,0.294,0.193
Legacy (JPN),0,0,0.164,0.045
Goodenough Mover (GB),2.113,1.95,0.54,0.407
Mango Mischief (IRE),2.905,2.23,0.665,0.502
Summitville (GB),1.66,0.632,0.779,0.633
Bowstring (IRE),0,0,0.143,0.041
Della Salute (GB),2.113,1.394,0.68,0.514
Let Slip (GB),1.66,0.811,0.839,0.718
Granary Girl (GB),2.447,2.196,0.619,0.471
Luciferous (USA),0,0,0.358,0.194
Tranquilizer (GB),3.32,2.575,0.73,0.597
Night Out (FR),0,0,0.177,0.074
Feathergrass (IRE),0,0,0.399,0.216
Nina Fontenail (FR),3.32,1.728,0.877,0.8
French Mannequin (IRE),3.099,1.819,0.638,0.504
Gallant Boy (IRE),3.874,3.047,0.63,0.512
Crownfield (GB),0,0,0.444,0.272
Laawaris (USA),0,0,0.369,0.211
Mr Belvedere (GB),0,0,0.64,0.481
Castle River (USA),0,0,0.457,0.275
Cunning Pursuit (GB),0,0,0.606,0.437
Ink In Gold (IRE),0,0,0.324,0.17
Caliban (IRE),1.937,0.991,0.622,0.445
Short Change (IRE),0,0,0.527,0.353
Joey Perhaps (GB),1.162,1.085,0.441,0.3
Twentytwosilver (IRE),0,0,0.366,0.201
Cool Bathwick (IRE),0,0,0.028,0.002
Land Suns Legacy (IRE),0,0,0.293,0.16
Asaawir (GB),2.905,2.135,0.621,0.515
Proxenia (GB),0,0,0.766,0.627
Macedon (GB),0,0,0.5,0.25
Shellatana (GB),0,0,0.139,0.03
The Jailer (GB),0,0,0.322,0.165
Bonjour Bond (IRE),0,0,0.372,0.187
Forever My Lord (GB),1.291,1.325,0.566,0.367
Mount Arafat (GB),0,0,0.117,0.035
Big Bradford (GB),0,0,0.528,0.343
All Quiet (GB),3.874,2.151,0.741,0.594
Petite Spectre (GB),0,0,0.184,0.091
Verbier I (USA),0,0,0,0
Logistical (GB),1.056,1.102,0.488,0.317
Iphigenia (IRE),0,0,0.283,0.119
Miss Monza (GB),0,0,0.501,0.295
Percheron (IRE),0,0,0.213,0.054
Redswan (GB),0,0,0.045,0.004
Cerulean Rose (GB),0,0,0.672,0.53
Redwood Star (GB),3.169,1.678,0.687,0.566
Imperium (GB),0,0,0.488,0.296
Il Pranzo (GB),0.646,0.572,0.384,0.268
Serramanna (GB),1.937,2.043,0.478,0.361
Amwell Brave (GB),0.894,0.776,0.601,0.453
Kernel Dowery (IRE),0,0,0.774,0.613
Robbie Will (GB),0,0,0.345,0.164
Impulsivo (GB),0,0,0.279,0.138
La Fanciulla (GB),0,0,0.622,0.444
Coalite (IRE),0,0,0.406,0.225
Pommes Frites (GB),2.324,1.566,0.654,0.491
Be My Charm (GB),0,0,0.626,0.423
Namu (GB),0,0,0.757,0.612
Chia (IRE),0,0,0.564,0.35
Bantikhi (IRE),2.905,3.008,0.542,0.377
Tillurium (IRE),0,0,0.17,0.049
Charlton (GB),3.32,2.578,0.69,0.58
Nantyglo (GB),1.937,0.846,0.766,0.642
Musical Guest (IRE),1.453,0.697,0.628,0.461
Bathwick Intyre (IRE),0,0,0.338,0.159
Gee Four (IRE),1.291,1.145,0.295,0.177
Phantom Whisper (GB),3.32,1.949,0.509,0.391
Pending (IRE),0.83,0.794,0.527,0.393
Revolve (GB),1.291,1.013,0.492,0.418
Opera Knight (GB),0,0,0.256,0.132
Purple Door (GB),0,0,0.515,0.382
Youngs Forth (GB),0,0,0.459,0.283
Killala I (IRE),0,0,0.394,0.178
Nelson (POL),0,0,0.146,0.064
Indian Call (GB),0,0,0.156,0.049
Forty Forte (GB),0,0,0.197,0.052
Appointed Time (GB),0,0,0.142,0.022
Valuable Gift (GB),0,0,0.292,0.109
A Little Tipsy (GB),0,0,0.028,0.002
Amica (GB),2.324,2.57,0.499,0.396
Under My Spell (GB),0,0,0.613,0.39
Cantarna (IRE),0,0,0.703,0.513
Love Affair (IRE),1.056,1.078,0.383,0.276
Molinia (GB),1.056,0.64,0.534,0.376
Tiggers Touch (GB),0,0,0.097,0.017
Remington (IRE),1.937,3.333,0.553,0.361
Dancinginthedark (IRE),0,0,0.623,0.412
Arians Lad (GB),0,0,0.588,0.422
Neferura (GB),0,0,0.231,0.085
Imperial Rule (IRE),1.937,1.186,0.59,0.476
Aramat (GB),0,0,0.086,0.008
High Beech (IRE),0,0,0,0
Red Rudy (GB),0,0,0.67,0.467
Twist Bookie (IRE),1.453,4.485,0.484,0.289
Sunset King (USA),0,0,0.322,0.185
Terenzium (IRE),0,0,0.372,0.189
Rathmullan (GB),1.162,2,0.444,0.254
General Haigh (GB),0,0,0.263,0.129
Justice Jones (GB),0,0,0.298,0.111
Ben Kenobi (GB),1.66,2.8,0.443,0.295
Paso Doble (GB),1.66,1.502,0.607,0.429
Bright Fire (IRE),0,0,0.421,0.227
High View (USA),0,0,0.105,0.018
Larad (IRE),0,0,0.511,0.362
Bridal Path (GB),2.905,0.858,0.709,0.552
Be Like A Lion (GB),0,0,0.385,0.197
Tryandstopme (GB),0,0,0.528,0.314
Golden Chica (IRE),0,0,0.033,0.002
Blue Jeans (GB),0,0,0.463,0.278
Halcyon Lodge (FR),0,0,0.435,0.264
Hembury Fort (IRE),0,0,0.545,0.399
Distant Country (USA),0.646,0.421,0.6,0.415
Desert Hawk (GB),0,0,0.502,0.295
Inescapable I (USA),0,0,0.329,0.197
Kanpai (IRE),0,0,0.593,0.446
Senior Whim (GB),0,0,0.508,0.273
Charming Rogue (GB),0,0,0.322,0.124
Between Friends (GB),0,0,0.304,0.135
Will The Till (GB),1.453,0.94,0.725,0.575
Pinafore (GB),0,0,0.501,0.344
Raul Sahara (GB),0,0,0.588,0.382
Miracle Baby (GB),0,0,0.554,0.315
Brendans Surprise (GB),0,0,0.504,0.325
Smokey The Bear (GB),0,0,0.326,0.137
Three Strikes (IRE),0,0,0.207,0.091
Persian Khanoom (IRE),0,0,0.424,0.258
Sabo Prince (GB),1.291,1.657,0.446,0.273
Before The Dawn (GB),0,0,0.192,0.048
Equilibria (USA),1.291,1.158,0.621,0.509
Pennestamp (IRE),0,0,0.155,0.066
My Dream (IRE),0,0,0.067,0.007
John Keats (GB),5.811,3.666,0.741,0.625
Orphina (IRE),0,0,0.585,0.396
Balian (GB),0,0,0.456,0.306
Colmar Supreme (GB),1.162,0.938,0.6,0.426
October Ben (GB),0,0,0.455,0.207
Madam Patti (GB),0,0,0.404,0.197
Dark Moon (GB),0,0,0.278,0.099
Anemone (GB),0,0,0.433,0.244
Task Complete (GB),0,0,0.256,0.085
Shirley Racquet (GB),0,0,0.283,0.141
Southern Shore (IRE),1.453,2.136,0.353,0.226
Cois Na Tine Eile (GB),1.453,1.317,0.625,0.489
Isabella Rossini (GB),0,0,0.515,0.313
Chin Dancer (GB),0,0,0.104,0.011
Take The Plunge (GB),0,0,0.294,0.113
Casterossa (GB),1.453,0.984,0.644,0.484
Spanish Music (GB),0,0,0.42,0.225
Lady Hopeful (IRE),1.66,1.449,0.622,0.428
Danescourt (IRE),0,0,0.369,0.15
Sister Eugenie (IRE),0,0,0.351,0.202
Solanich (GB),0,0,0.434,0.274
Rock Fever (IRE),0.83,0.635,0.53,0.383
Edge Of Blue (GB),0,0,0.409,0.231
Midcap (IRE),1.937,0.96,0.704,0.575
Jubilee Dawn (GB),0,0,0.372,0.199
Arous (FR),0,0,0.729,0.538
Appolonious (GB),0,0,0.668,0.476
Tadlil (GB),0,0,0.445,0.266
Endure (IRE),0,0,0.417,0.181
Carmina Banana (GB),0,0,0.093,0.013
Sweet Talking Girl (GB),0,0,0,0
Lord Nellsson (GB),2.113,1.247,0.681,0.558
Beauchamp Trump (GB),1.291,0.908,0.513,0.354
Nobbler (GB),0,0,0.565,0.362
Silver Song (GB),0,0,0.426,0.236
Niobes Way (GB),0,0,0.352,0.235
Avesomeofthat (IRE),0,0,0.444,0.249
Celtic Promise (IRE),0,0,0.285,0.13
Esterelle (USA),0,0,0.186,0.087
Taminoula (IRE),0.775,0.588,0.588,0.411
Zalkani (IRE),0.553,0.352,0.653,0.489
Balerno (GB),2.214,1.584,0.575,0.43
Fisby (GB),2.49,1.116,0.63,0.5
Jinksonthehouse (GB),0,0,0.122,0.025
Auction Room (USA),2.324,0.695,0.799,0.654
Pairumanis Girl (IRE),0,0,0.534,0.353
Midris (IRE),5.811,6.042,0.869,0.781
Fantastisch (IRE),0,0,0.612,0.415
Opera Comica (GB),0,0,0.719,0.542
Million All Day (IRE),0,0,0.378,0.189
Vinska (USA),0,0,0.309,0.133
Adage (GB),0,0,0.472,0.252
Up At Dawn (GB),0,0,0.174,0.066
Tuscany Rose (GB),0,0,0.223,0.055
Yes Dear (GB),0,0,0.446,0.238
Mirth I (GB),0,0,0.51,0.365
Moonlight (GER),0,0,0.134,0.018
Kilworth (IRE),1.937,0.725,0.673,0.592
Aamaaq (GB),0,0,0.876,0.768
Le Colombier (IRE),0,0,0.775,0.601
Master At Arms (GB),0,0,0.549,0.315
Cantabilly (IRE),0,0,0.4,0.212
China Pearl (GB),0,0,0.36,0.212
Changiz (GB),0,0,0.085,0.018
Light Meter (IRE),0,0,0.252,0.116
Cape Secret (IRE),0,0,0.362,0.213
Severely (FR),2.324,3.1,0.54,0.389
Kayf Aramis (GB),0,0,0.483,0.345
Shaanbar (IRE),0,0,0.415,0.199
Bansha Bandit (IRE),0,0,0.245,0.111
Silver Dreamer (IRE),0,0,0.353,0.142
Pavilion (GB),0,0,0,0
Montara (IRE),2.324,1.422,0.684,0.522
Icannshift (IRE),0.612,0.464,0.58,0.424
Earl Of Spectrum (GER),0,0,0.452,0.259
Tough Queen (USA),0,0,0.067,0.004
Senor Set (GER),0,0,0.275,0.144
Craic Sa Ceili (IRE),0,0,0.545,0.363
Red Monarch (IRE),0,0,0.395,0.201
On The Waterline (IRE),0,0,0.133,0.023
Little Indy (GB),0,0,0.08,0.006
Jakarmi (GB),0,0,0.588,0.423
Pella (GB),1.453,1.487,0.598,0.412
Princelywallywogan (GB),2.113,2.708,0.602,0.46
Regal Rap (GB),0,0,0.33,0.149
Ringsend Lady (IRE),0,0,0.183,0.053
Tetcott (IRE),1.66,1.677,0.47,0.327
Tomthevic (GB),0,0,0.57,0.376
Boanerges (IRE),2.324,1.492,0.678,0.569
Carcinetto (IRE),1.66,3.528,0.414,0.268
Rosie Muir (GB),0,0,0.304,0.133
Kiss The Rain (GB),0.646,0.691,0.541,0.365
Melaina (GB),0,0,0.166,0.044
Joe Jo Star (GB),1.056,1.077,0.511,0.34
Yours Sincerely (IRE),0,0,0.371,0.171
Edged In Gold (GB),1.66,1.578,0.338,0.222
Sweep The Board (IRE),0,0,0.242,0.071
Generous Lad (IRE),2.905,8.586,0.466,0.317
India Run (IRE),0,0,0.589,0.382
Darusso (GB),0,0,0.55,0.349
Is It Me (USA),0,0,0.556,0.335
Bellini Star (GB),0,0,0.452,0.259
Specialised Lady (GB),0,0,0.323,0.172
Psycho Cat (GB),2.583,2.003,0.541,0.425
Impulsive Madam (GB),0,0,0.401,0.202
Roll The Dice I (IRE),0,0,0.528,0.354
Tresor Preziniere (FR),0,0,0.61,0.39
Dat My Horse (IRE),0,0,0.278,0.157
Nuit Sombre (IRE),1.162,1.182,0.452,0.313
Tigers Lair (IRE),8.716,2.081,0.925,0.873
Amberleigh House (IRE),0,0,0.35,0.21
Nanga Parbat (FR),2.905,1.12,0.763,0.63
Ursis (FR),5.811,1.806,0.818,0.702
Noble Request (FR),3.32,1.43,0.703,0.556
One Day (NZ),0,0,0.444,0.29
Florida Dream (IRE),1.937,0.899,0.511,0.34
Prince On The Ter (GB),0,0,0.271,0.168
Moscow Whisper (IRE),1.453,0.454,0.505,0.428
Vale De Lobo (GB),2.905,1.124,0.674,0.515
Double Spectre (IRE),0,0,0.558,0.43
Dusty Dane (IRE),0,0,0.65,0.455
Fu Manchu (GB),0,0,0.381,0.233
Arno River (GB),0,0,0.264,0.142
Negas (IRE),0,0,0.381,0.235
Harrys Simmie (IRE),0,0,0.091,0.025
Cloonavery (IRE),0,0,0.316,0.133
Whirling (GB),3.32,2.149,0.483,0.417
Leprechauns Maite (GB),0,0,0.235,0.097
Twelve Paces (GB),2.324,0.8,0.574,0.423
Archduke Ferdinand (FR),0,0,0.633,0.517
Moorlands Milly (GB),0,0,0.389,0.179
Freeline Fantasy (IRE),0,0,0.533,0.284
Davys Luck (GB),2.324,4.422,0.432,0.296
Ganymede I (GB),0,0,0.422,0.269
Limogos (GER),0,0,0.107,0.023
Scalinis (IRE),0,0,0.425,0.303
The Baillie (IRE),0,0,0.721,0.52
Supremely Smart (IRE),0,0,0.321,0.207
Arumun (IRE),2.324,2.387,0.835,0.721
Little Word (GB),0,0,0.531,0.301
Thenford Lord (IRE),0,0,0.583,0.361
Cornish Jack (GB),0,0,0.335,0.12
Graig Hill Cracker (IRE),0,0,0.286,0.082
Brave Jo (FR),0,0,0.351,0.196
Here We Go I (IRE),0,0,0.143,0.02
Gold Vic (IRE),0,0,0.149,0.049
Reflected Glory (IRE),4.649,1.291,0.888,0.798
Jolejoker (GB),0,0,0.53,0.425
Kopeck (IRE),0,0,0.167,0.083
Howrwenow (IRE),0,0,0.544,0.445
Rosses Point (IRE),0,0,0.203,0.165
Patrixprial (GB),0,0,0.404,0.172
Letsplay (IRE),0,0,0.523,0.315
Mount Clerigo (IRE),5.811,1.921,0.656,0.598
Hes The GuvNor (IRE),3.874,1.676,0.663,0.615
Mr Cool (GB),1.937,3.115,0.489,0.355
Just Muckin Around (IRE),0.775,0.608,0.425,0.312
Dangerousdanmagru (IRE),4.358,1.604,0.562,0.469
Imaginaire (USA),2.324,1.205,0.44,0.286
Make It Easy (IRE),1.291,0.86,0.675,0.485
Apple Joe (GB),0,0,0.408,0.337
Dunbrody Millar (IRE),0.968,0.617,0.536,0.448
Freteval (FR),0,0,0,0
Alabaster I (GB),0,0,0.387,0.299
St Kilda (GB),1.453,1.21,0.219,0.195
Penalty Clause (IRE),0,0,0.257,0.14
Master Brew (GB),0,0,0.094,0.033
Aisjem (IRE),0,0,0,0
Dunbell Boy (IRE),2.324,1.141,0.663,0.573
Micky Cole (IRE),0,0,0.655,0.434
Mac Dargin (IRE),0,0,0.659,0.467
Denarius Secundus (GB),0,0,0.517,0.329
Kildonnan (GB),0,0,0.621,0.451
Biltons Nap (GB),0,0,0.5,0.278
Barton Legend (GB),3.874,5.016,0.631,0.519
A Pound Down (IRE),0,0,0,0
Noble Colours (GB),0,0,0.243,0.109
Shannon Quest (IRE),0,0,0.029,0.004
Fleurette (GB),3.874,3.184,0.835,0.723
Just A Splash (IRE),2.324,1.93,0.577,0.424
Tytheknot (GB),0,0,0.535,0.324
Future Legend (GB),0,0,0.447,0.2
Classic Clover (GB),0,0,0.491,0.261
Sistema (GB),0,0,0.056,0.006
Supreme Sir (IRE),0,0,0.25,0.188
Mandica (IRE),1.937,0.881,0.606,0.501
Its Rumoured (GB),0,0,0.607,0.423
Moorland Monarch (GB),0,0,0.673,0.508
Mr Crawford (GB),0,0,0.096,0.037
By Degree (IRE),3.874,4.811,0.519,0.436
Turkama (FR),0,0,0.286,0.159
Dream Falcon (GB),0,0,0.445,0.31
Musimaro (FR),0,0,0.037,0.004
Leading Authority (IRE),0,0,0.873,0.763
Joseph Beuys (IRE),0,0,0.457,0.271
Lemon Tree (GB),0,0,0.7,0.49
Grand Slam Hero (IRE),0,0,0.443,0.221
Dryliner (GB),0,0,0.347,0.123
Ourcarl (GB),0,0,0.227,0.057
Young Guns (IRE),0,0,0.2,0.04
Natures Magic (GB),0,0,0.232,0.071
At Loggerheads (GB),0,0,0,0
Macmar (FR),0,0,0.496,0.354
Jaybejay (NZ),0,0,0,0
Glasker Mill (IRE),4.649,1.393,0.838,0.727
Calusa Charlie (IRE),3.874,3.161,0.833,0.71
Royal Cliche (GB),0,0,0.476,0.275
The Gerry Man (IRE),0,0,0,0
Beyondtherealm (GB),11.621,6,1,1
Amanpuri (GER),0,0,0.419,0.252
Rojabaa (GB),1.453,1.083,0.753,0.581
Tizi Ouzou (IRE),1.056,0.766,0.544,0.358
The Wifes Sister (GB),0,0,0.549,0.388
Beyond Borders (USA),0,0,0.336,0.199
Eudyptes (GB),0,0,0.17,0.055
Our Sion (GB),0,0,0.068,0.019
Afro Man (GB),0,0,0.417,0.347
Uncle Max (IRE),0,0,0.683,0.501
Senor Gigo (GB),0,0,0.198,0.07
Killy Beach (GB),0,0,0.233,0.118
On Y Va (FR),5.811,3.548,0.917,0.847
Shamawan (IRE),0,0,0.36,0.173
Field Roller (IRE),1.937,1.58,0.393,0.274
Hiers De Brouage (FR),1.66,1.701,0.345,0.258
Semi Precious (IRE),0,0,0.19,0.109
Alcopop (GB),2.905,1.256,0.583,0.492
Alakdar (CAN),0,0,0,0
Zanzibar Boy (GB),3.874,1.036,0.911,0.835
Great Memories (GB),0,0,0.769,0.592
